ticker,name,report_date,net_margin_percent,gross_margin_percent
NVDA,"NVIDIA Corporation",2025-01-31,55.85,74.99
V,"Visa Inc.",2025-09-30,50.15,80.36
MA,"Mastercard Incorporated",2024-12-31,45.71,76.31
MSFT,"Microsoft Corporation",2025-06-30,36.15,68.82
JPM,"JPMorgan Chase & Co.",2024-12-31,34.51,NULL
GOOGL,"Alphabet Inc.",2025-12-31,32.81,59.65
META,"Meta Platforms, Inc.",2025-12-31,30.08,82.00
ADBE,"Adobe Inc.",2025-11-30,30.00,89.27
AAPL,"Apple Inc.",2025-09-30,26.92,46.91
BAC,"Bank of America Corporation",2024-12-31,26.63,NULL
